# HomeWork05 - Legendre polynomial stability
# Columns:
# x l P_reference P_forward P_backward abs_err_forward rel_err_forward abs_err_backward rel_err_backward
0.10000000000000001 0 1.000000000000000000000e+00 1.000000000000000000000e+00 1.000000000000000000000e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 0.000000000000000000000e+00
0.10000000000000001 1 1.000000000000000055511e-01 1.000000000000000055511e-01 2.584363728065084409025e+00 0.000000000000000000000e+00 0.000000000000000000000e+00 2.484363728065084403474e+00 2.484363728065084265563e+01
0.10000000000000001 2 -4.849999999999999983325e-01 -4.849999999999999866773e-01 -1.123454407902372553796e-01 1.165517335421917266558e-17 2.403128526643128392891e-17 3.726545592097627429529e-01 7.683599158964180293589e-01
0.10000000000000001 3 -1.475000000000000079087e-01 -1.474999999999999922284e-01 -1.741633392175095718102e+00 1.568027391957160787683e-17 1.063069418276041154969e-16 1.594133392175095710152e+00 1.080768401474641101506e+01
0.10000000000000001 4 3.379374999999999959217e-01 3.379375000000000017764e-01 -2.205267630379638410520e-01 5.854691731421723943640e-18 1.732477671587711933286e-17 5.584642630379638369737e-01 1.652566711412506288061e+00
0.10000000000000001 5 1.788287500000000089691e-01 1.788287500000000085354e-01 1.353611896393243307912e+00 4.336808689942017736030e-19 2.425118270939106557841e-18 1.174783146393243298943e+00 6.569319230790592899650e+00
0.10000000000000001 6 -2.488293124999999931401e-01 -2.488293124999999827995e-01 4.319344835370644841710e-01 1.034057822008049853935e-17 4.155691351709416801407e-17 6.807637960370644773247e-01 2.735866563297539537716e+00
0.10000000000000001 7 -1.994929437500000089789e-01 -1.994929437500000124484e-01 -1.080022364251610689223e+00 3.469446951953614188824e-18 1.739132666417237142409e-17 8.805294205016106802442e-01 4.413837421763999813509e+00
0.10000000000000001 8 1.803207214843749902456e-01 1.803207214843749739419e-01 -5.804468663921085180846e-01 1.630369016875077292639e-17 9.041495638738062337578e-17 7.607675878764835083437e-01 4.218969298780256626386e+00
0.10000000000000001 9 2.113876418359375080290e-01 2.113876418359375009004e-01 8.503799156829224825671e-01 7.128629284092191653599e-18 3.372301815838824698035e-17 6.389922738469849745110e-01 3.022845935066159692899e+00
